,ApplicationCycle,Ethnicity,AnticipatedCompletionDate,ProgramName,CountryName,ProgramCity,ProgramRegion,ApplicationID,ProgramYear,ProgramTerm,ApplicationStatusAlias,Gender,PreferredGender,AcademicYear,StartYear
349,Fall 2018,White,May 20 2019 12:00AM,X - IES Abroad Amsterdam - Study Amsterdam,Netherlands,Amsterdam,Europe,78644,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
350,Fall 2018,White,May 18 2020 12:00AM,Arcadia Abroad - University of Edinburgh,United Kingdom,Edinburgh,Europe,78938,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
351,Fall 2018,Asian,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,79210,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
352,Fall 2018,International student,May 20 2019 12:00AM,ACM Oak Ridge Science Semester,United States,"Oak Ridge, TN",North America,79315,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
353,Fall 2018,White,May 18 2020 12:00AM,Grinnell in London,United Kingdom,London,Europe,79654,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
355,Fall 2018,White,May 18 2020 12:00AM,Grinnell in London,United Kingdom,London,Europe,79656,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
357,Fall 2018,White,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,79945,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
358,Fall 2018,White,May 18 2020 12:00AM,X - ACM Costa Rica: Community Engagement,Costa Rica,San Jose,Latin America and Caribbean,80188,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
359,Fall 2018,White,May 18 2020 12:00AM,Arcadia Abroad - University of Otago,New Zealand,Dunedin,Oceania,80604,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
360,Fall 2018,Hispanic (of any race),May 18 2020 12:00AM,"X - SIT Study Abroad/IHP Climate Change: The Politics of Land, Water & Energy Justice",Ecuador,Quito,Latin America and Caribbean,81049,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
361,Fall 2018,Hispanic (of any race),May 18 2020 12:00AM,"X - SIT Study Abroad/IHP Climate Change: The Politics of Land, Water & Energy Justice",Morocco,Rabat,MENA,81049,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
362,Fall 2018,Hispanic (of any race),May 18 2020 12:00AM,"X - SIT Study Abroad/IHP Climate Change: The Politics of Land, Water & Energy Justice",Nepal,Kathmandu,Asia,81049,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
363,Fall 2018,Hispanic (of any race),May 18 2020 12:00AM,"X - SIT Study Abroad/IHP Climate Change: The Politics of Land, Water & Energy Justice",United States,"San Francisco, CA",North America,81049,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
364,Fall 2018,White,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,81098,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
365,Fall 2018,White,May 20 2019 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,81340,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
366,Fall 2018,White,May 18 2020 12:00AM,SIT Study Abroad Iceland: Climate Change and the Arctic,Iceland,Reykjavik,Europe,81481,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
367,Fall 2018,White,May 18 2020 12:00AM,X - CET Siena,Italy,Siena,Europe,81515,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
368,Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Czechia,Olomouc,Europe,81547,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
369,Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Czechia,Prague,Europe,81547,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
370,Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Germany,Berlin,Europe,81547,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
371,Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Netherlands,Utrecht,Europe,81547,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
372,Fall 2018,White,Dec 21 2018 12:00AM,Grinnell in London,United Kingdom,London,Europe,81604,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
374,Fall 2018,White,May 18 2020 12:00AM,"X - SIT Study Abroad/IHP Climate Change: The Politics of Land, Water & Energy Justice",Ecuador,Quito,Latin America and Caribbean,81815,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
375,Fall 2018,White,May 18 2020 12:00AM,"X - SIT Study Abroad/IHP Climate Change: The Politics of Land, Water & Energy Justice",Morocco,Rabat,MENA,81815,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
376,Fall 2018,White,May 18 2020 12:00AM,"X - SIT Study Abroad/IHP Climate Change: The Politics of Land, Water & Energy Justice",Nepal,Kathmandu,Asia,81815,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
377,Fall 2018,White,May 18 2020 12:00AM,"X - SIT Study Abroad/IHP Climate Change: The Politics of Land, Water & Energy Justice",United States,"San Francisco, CA",North America,81815,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
378,Fall 2018,White,May 18 2020 12:00AM,The School for Field Studies - Rainforest to Reef (Australia),Australia,Atherton,Oceania,81874,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
379,Fall 2018,International student,May 20 2019 12:00AM,X - Trinity/La Mama Performing Arts Semester,United States,"New York, NY",North America,81998,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
380,Fall 2018,Asian,May 18 2020 12:00AM,Grinnell in London,United Kingdom,London,Europe,82020,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
382,Fall 2018,Asian,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,82111,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
383,Fall 2018,White,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,82113,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
384,Fall 2018,International student,May 18 2020 12:00AM,X - CET Florence,Italy,Florence,Europe,82275,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
385,Fall 2018,International student,May 18 2020 12:00AM,"IES Abroad Milan – Music: Voice, Composition & Instrumental",Italy,Milan,Europe,82593,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
386,Fall 2018,White,May 18 2020 12:00AM,Arcadia Abroad - University of Otago,New Zealand,Dunedin,Oceania,82623,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
387,Fall 2018,International student,May 18 2020 12:00AM,IES Abroad Nagoya Direct Enrollment - Nanzan University,Japan,Nagoya,Asia,82627,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
388,Fall 2018,White,May 18 2020 12:00AM,X - ACM Costa Rica: Community Engagement,Costa Rica,San Jose,Latin America and Caribbean,82643,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
389,Fall 2018,White,May 18 2020 12:00AM,IES Abroad Madrid - Language & Area Studies,Spain,Madrid,Europe,82655,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
390,Fall 2018,Hispanic (of any race),May 20 2019 12:00AM,Arcadia Abroad - University of Otago,New Zealand,Dunedin,Oceania,82667,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
391,Fall 2018,White,May 18 2020 12:00AM,Arcadia Abroad - University of Otago,New Zealand,Dunedin,Oceania,82668,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
392,Fall 2018,White,May 18 2020 12:00AM,Grinnell in London,United Kingdom,London,Europe,82673,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
394,Fall 2018,White,Dec 20 2019 12:00AM,Institute for Central American Development Studies - Field Program in Environment & Sustainable Development,Costa Rica,San Jose,Latin America and Caribbean,82679,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
395,Fall 2018,White,May 18 2020 12:00AM,Middlebury School in China: Hangzhou,China,Hangzhou,Asia,82758,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
396,Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,X - ACM Tanzania: Ecology & Human Origins,Tanzania,Arusha,Sub-Saharan Africa,82759,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
397,Fall 2018,International student,May 20 2019 12:00AM,ACM Oak Ridge Science Semester,United States,"Oak Ridge, TN",North America,82791,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
398,Fall 2018,White,May 20 2019 12:00AM,SIT Study Abroad South Africa: International Relations in the Global South,South Africa,Cape Town,Sub-Saharan Africa,82795,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
399,Fall 2018,White,May 20 2019 12:00AM,SIT Study Abroad South Africa: International Relations in the Global South,South Africa,Durban,Sub-Saharan Africa,82795,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
400,Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Czechia,Olomouc,Europe,82801,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
401,Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Czechia,Prague,Europe,82801,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
402,Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Germany,Berlin,Europe,82801,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
403,Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Netherlands,Utrecht,Europe,82801,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
404,Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,College Year in Athens - Semester and Academic Year Program,Greece,Athens,Europe,82806,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
405,Fall 2018,White,May 18 2020 12:00AM,"X - ACM Amsterdam: Sciences, Global Health and Interdisciplinary at VU",Netherlands,Amsterdam,Europe,82845,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
406,Fall 2018,International student,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,82846,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
407,Fall 2018,White,May 18 2020 12:00AM,"SIT Study Abroad/ IHP Human Rights Movements, Power, and Resistance",Chile,Santiago,Latin America and Caribbean,82848,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
408,Fall 2018,White,May 18 2020 12:00AM,"SIT Study Abroad/ IHP Human Rights Movements, Power, and Resistance",Jordan,Amman,MENA,82848,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
409,Fall 2018,White,May 18 2020 12:00AM,"SIT Study Abroad/ IHP Human Rights Movements, Power, and Resistance",Nepal,Kathmandu,Asia,82848,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
410,Fall 2018,White,May 18 2020 12:00AM,"SIT Study Abroad/ IHP Human Rights Movements, Power, and Resistance",United States,"New York, NY",North America,82848,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
411,Fall 2018,International student,May 18 2020 12:00AM,X - ACM Chicago Program,United States,"Chicago, IL",North America,82870,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
412,Fall 2018,International student,May 18 2020 12:00AM,X - The Swedish Program: Liberal Arts at the Stockholm School of Economics,Sweden,Stockholm,Europe,82902,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
413,Fall 2018,White,May 18 2020 12:00AM,Arcadia Abroad - Queens University Belfast,United Kingdom,Belfast,Europe,82918,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
414,Fall 2018,White,May 18 2020 12:00AM,ACTR Advanced Russian Language & Area Studies Moscow (RLASP),Russia,Moscow,Europe,82951,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
415,Fall 2018,White,May 18 2020 12:00AM,"IES Abroad Milan – Music: Voice, Composition & Instrumental",Italy,Milan,Europe,83006,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
416,Fall 2018,International student,May 18 2020 12:00AM,CET Prague,Czechia,Prague,Europe,83034,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
417,Fall 2018,International student,May 18 2020 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,83038,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
418,Fall 2018,White,May 18 2020 12:00AM,IES Abroad Cape Town - University of Cape Town,South Africa,Cape Town,Sub-Saharan Africa,83091,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
419,Fall 2018,White,May 18 2020 12:00AM,"IES Abroad Milan – Music: Voice, Composition & Instrumental",Italy,Milan,Europe,83123,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
420,Fall 2018,White,May 18 2020 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,83130,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
421,Fall 2018,International student,May 20 2019 12:00AM,Wellesley-in-Aix,France,Aix-en-Provence,Europe,83174,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
422,Fall 2018,Asian,May 18 2020 12:00AM,X - ACM Tanzania: Ecology & Human Origins,Tanzania,Arusha,Sub-Saharan Africa,83219,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
423,Fall 2018,International student,May 18 2020 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,83331,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
424,Fall 2018,Black or African-American,May 18 2020 12:00AM,"CIEE Arts and Sciences Program in Seoul, Korea","Korea, South ",Seoul,Asia,83355,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
425,Fall 2018,White,May 18 2020 12:00AM,SIT Study Abroad South Africa: Multiculturalism and Human Rights,South Africa,Cape Town,Sub-Saharan Africa,83370,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
426,Fall 2018,White,May 18 2020 12:00AM,SIT Study Abroad South Africa: Multiculturalism and Human Rights,South Africa,Johannesburg,Sub-Saharan Africa,83370,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
427,Fall 2018,White,May 18 2020 12:00AM,X - IES Abroad Dublin – Writer's Program,Ireland,Dublin,Europe,83426,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
428,Fall 2018,International student,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,83539,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
429,Fall 2018,Two or more races,May 18 2020 12:00AM,X - The School for Field Studies - Wildlife Management Studies,Tanzania,Moyo Hill Camp,Sub-Saharan Africa,83598,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
430,Fall 2018,White,May 18 2020 12:00AM,"X - ACM Amsterdam: Sciences, Global Health and Interdisciplinary at VU",Netherlands,Amsterdam,Europe,83599,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
431,Fall 2018,Asian,May 18 2020 12:00AM,IFSA - IFSA Study in Shanghai: International Business,China,Shanghai,Asia,83634,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
432,Fall 2018,White,May 18 2020 12:00AM,Wellesley-in-Aix,France,Aix-en-Provence,Europe,83635,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
433,Fall 2018,Asian,May 18 2020 12:00AM,"CIEE Arts and Sciences Program in Seoul, Korea","Korea, South ",Seoul,Asia,83642,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
434,Fall 2018,White,May 20 2019 12:00AM,Marine Biological Laboratory - Semester in Environmental Science,United States,"Falmouth, MA",North America,83653,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
435,Fall 2018,White,May 20 2019 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,83718,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
436,Fall 2018,White,May 18 2020 12:00AM,CET Prague,Czechia,Prague,Europe,83747,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
437,Fall 2018,White,May 18 2020 12:00AM,X - IES Abroad Santiago - Study in Santiago,Chile,Santiago,Latin America and Caribbean,83795,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
438,Fall 2018,International student,May 18 2020 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,83809,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
439,Fall 2018,White,May 18 2020 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,83826,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
440,Fall 2018,White,May 18 2020 12:00AM,Arcadia Abroad - University of Otago,New Zealand,Dunedin,Oceania,83828,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
441,Fall 2018,White,May 18 2020 12:00AM,SIT Study Abroad South Africa: International Relations in the Global South,South Africa,Cape Town,Sub-Saharan Africa,83832,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
442,Fall 2018,White,May 18 2020 12:00AM,SIT Study Abroad South Africa: International Relations in the Global South,South Africa,Durban,Sub-Saharan Africa,83832,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
443,Fall 2018,White,May 18 2020 12:00AM,Wellesley-in-Aix,France,Aix-en-Provence,Europe,83833,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
444,Fall 2018,White,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,83834,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
445,Fall 2018,International student,May 18 2020 12:00AM,"Arcadia Abroad - Goldsmiths, University of London",United Kingdom,London,Europe,83835,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
446,Fall 2018,White,May 18 2020 12:00AM,Wellesley-in-Aix,France,Aix-en-Provence,Europe,83837,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
447,Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Czechia,Olomouc,Europe,83876,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
448,Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Czechia,Prague,Europe,83876,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
449,Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Germany,Berlin,Europe,83876,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
450,Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Women's and Gender Studies in Europe,Netherlands,Utrecht,Europe,83876,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
451,Fall 2018,White,May 18 2020 12:00AM,"Arcadia Abroad - Goldsmiths, University of London",United Kingdom,London,Europe,83883,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
452,Fall 2018,White,May 18 2020 12:00AM,IES Abroad Cape Town - University of Cape Town,South Africa,Cape Town,Sub-Saharan Africa,83885,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
453,Fall 2018,White,May 18 2020 12:00AM,"IES Abroad Milan – Music: Voice, Composition & Instrumental",Italy,Milan,Europe,83890,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
454,Fall 2018,Black or African-American,May 18 2020 12:00AM,"Syracuse University Abroad - Exploring Central Europe: History, Memory, and Identity Across Borders",Poland,Wroclaw,Europe,83895,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
455,Fall 2018,White,May 18 2020 12:00AM,Arcadia Abroad - Queens University Belfast,United Kingdom,Belfast,Europe,83910,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
456,Fall 2018,White,May 18 2020 12:00AM,X - Bard Abroad Central European University in Budapest,Hungary,Budapest,Europe,83918,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
457,Fall 2018,White,May 18 2020 12:00AM,Leiden University College,Netherlands,The Hague,Europe,83926,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
458,Fall 2018,Black or African-American,May 18 2020 12:00AM,CET Prague Film Production,Czechia,Prague,Europe,83941,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
459,Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,Aquincum Institute of Technology,Hungary,Budapest,Europe,83958,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
460,Fall 2018,Hispanic (of any race),May 18 2020 12:00AM,SIT Study Abroad South Africa: International Relations in the Global South,South Africa,Cape Town,Sub-Saharan Africa,83967,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
461,Fall 2018,Hispanic (of any race),May 18 2020 12:00AM,SIT Study Abroad South Africa: International Relations in the Global South,South Africa,Durban,Sub-Saharan Africa,83967,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
462,Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,"DIS - Study Abroad in Stockholm, Sweden",Sweden,Stockholm,Europe,83976,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
463,Fall 2018,International student,May 18 2020 12:00AM,IES Abroad Cape Town - University of Cape Town,South Africa,Cape Town,Sub-Saharan Africa,83986,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
464,Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Buddhist Studies in India,India,Bodhan,Asia,83987,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
465,Fall 2018,White,May 18 2020 12:00AM,Carleton Global Engagement: Buddhist Studies in India,Thailand,Chiang Mai,Asia,83987,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
466,Fall 2018,White,May 18 2020 12:00AM,ACM Newberry Seminar: Research in the Humanities,United States,"Chicago, IL",North America,84111,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
467,Fall 2018,White,May 20 2019 12:00AM,X - The School for Field Studies – Panama: Tropical Island Biodiversity Studies,Panama,Bocas del Toro,Latin America and Caribbean,84153,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
468,Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,"SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy",Austria,Vienna,Europe,84162,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
469,Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,"SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy",Hungary,Budapest,Europe,84162,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
470,Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,"SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy",Serbia,Belgrade,Europe,84162,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
471,Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,"SIT Study Abroad Serbia, Austria, & Hungary: Comparative European Perspectives on Conflict & Democracy",Slovakia,Bratislava,Europe,84162,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
472,Fall 2018,White,May 18 2020 12:00AM,"X - HECUA Sustainable Agriculture, Food, and Justice in Italy",Italy,Florence,Europe,84323,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
473,Fall 2018,International student,Dec 20 2019 12:00AM,"Arcadia Abroad - Goldsmiths, University of London",United Kingdom,London,Europe,84324,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
474,Fall 2018,International student,May 18 2020 12:00AM,"Arcadia Abroad - Goldsmiths, University of London",United Kingdom,London,Europe,84327,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
475,Fall 2018,White,May 18 2020 12:00AM,"Arcadia Abroad - Goldsmiths, University of London",United Kingdom,London,Europe,84328,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
476,Fall 2018,International student,May 18 2020 12:00AM,IES Abroad Amsterdam - Business & Economics,Netherlands,Amsterdam,Europe,84331,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
477,Fall 2018,Asian,May 18 2020 12:00AM,X - CET Vietnam,Vietnam,Ho Chi Minh City,Asia,84342,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
478,Fall 2018,Asian,May 18 2020 12:00AM,IES Abroad Cape Town - University of Cape Town,South Africa,Cape Town,Sub-Saharan Africa,84581,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
479,Fall 2018,Hispanic (of any race),May 18 2020 12:00AM,Grinnell in London,United Kingdom,London,Europe,85388,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
481,Fall 2018,Hispanic (of any race),May 20 2019 12:00AM,Grinnell in London,United Kingdom,London,Europe,86151,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
483,Fall 2018,Ethnicity and race unknown,May 18 2020 12:00AM,Grinnell in London,United Kingdom,London,Europe,87668,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
485,Fall 2018,White,May 18 2020 12:00AM,Grinnell in London,United Kingdom,London,Europe,87953,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
487,Fall 2018,White,May 18 2020 12:00AM,Grinnell in London,United Kingdom,London,Europe,89156,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
489,Fall 2018,International student,May 18 2020 12:00AM,Grinnell in London,United Kingdom,London,Europe,90091,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
491,Fall 2018,White,May 18 2020 12:00AM,College Year in Athens - Semester and Academic Year Program,Greece,Athens,Europe,98106,2018,Fall,Intend to Participate,M,NA,2018-2019,2018
492,Fall 2018,Ethnicity and race unknown,May 20 2019 12:00AM,SIT Study Abroad Morocco: Migration and Transnational Identity,Morocco,Rabat,MENA,103726,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
493,Fall 2018,Ethnicity and race unknown,May 20 2019 12:00AM,SIT Study Abroad Morocco: Migration and Transnational Identity,Netherlands,Amsterdam,Europe,103726,2018,Fall,Intend to Participate,F,NA,2018-2019,2018
494,Fall 2019,Asian,May 24 2021 12:00AM,"CIEE Art and Sciences Program in Hyderabad, India",India,Hyderabad,Asia,116064,2019,Fall,Intend to Participate,F,NA,2019-2020,2019
495,Fall 2019,Ethnicity and race unknown,May 24 2021 12:00AM,The School for Field Studies - Rainforest to Reef (Australia),Australia,Atherton,Oceania,116093,2019,Fall,Intend to Participate,F,NA,2019-2020,2019
496,Fall 2019,Black or African-American,May 25 2021 12:00AM,Spelman College,United States,"Atlanta, GA",North America,116593,2019,Fall,Intend to Participate,F,NA,2019-2020,2019
497,Fall 2019,Asian,May 24 2021 12:00AM,American University - Washington Semester Program,United States,"Washington, D.C.",North America,116633,2019,Fall,Intend to Participate,F,NA,2019-2020,2019
498,Fall 2019,White,May 24 2021 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,117393,2019,Fall,Intend to Participate,M,NA,2019-2020,2019
499,Fall 2019,Black or African-American,May 24 2021 12:00AM,"Arcadia Abroad - Goldsmiths, University of London",United Kingdom,London,Europe,117406,2019,Fall,Intend to Participate,F,NA,2019-2020,2019
500,Fall 2019,International student,May 24 2021 12:00AM,Grinnell in London,United Kingdom,London,Europe,117768,2019,Fall,Intend to Participate,M,NA,2019-2020,2019
502,Fall 2019,International student,May 18 2020 12:00AM,"DIS - Study Abroad in Copenhagen, Denmark",Denmark,Copenhagen,Europe,118009,2019,Fall,Intend to Participate,F,NA,2019-2020,2019
503,Fall 2019,White,May 24 2021 12:00AM,Arcadia Abroad - Queens University Belfast,United Kingdom,Belfast,Europe,118471,2019,Fall,Intend to Participate,M,NA,2019-2020,2019
504,Fall 2019,Black or African-American,May 25 2021 12:00AM,Middlebury School in China: Hangzhou,China,Hangzhou,Asia,118511,2019,Fall,Intend to Participate,F,NA,2019-2020,2019
